t,ke,pe,ke_err,pe_err
356,6.35537355e-05,-3.21983271e-06,1.02530024e-04,5.25668021e-05
357,6.35538512e-05,-3.21983563e-06,1.00710149e-04,5.16604908e-05
358,6.35539790e-05,-3.21983886e-06,9.86984446e-05,5.06582616e-05
359,6.35541186e-05,-3.21984238e-06,9.65026618e-05,4.95639908e-05
360,6.35542693e-05,-3.21984619e-06,9.41312744e-05,4.83819151e-05
361,6.35544306e-05,-3.21985026e-06,9.15934430e-05,4.71166150e-05
362,6.35546019e-05,-3.21985459e-06,8.88989803e-05,4.57729972e-05
363,6.35547825e-05,-3.21985915e-06,8.60583124e-05,4.43562746e-05
364,6.35549716e-05,-3.21986393e-06,8.30824382e-05,4.28719470e-05
365,6.35551686e-05,-3.21986891e-06,7.99828860e-05,4.13257787e-05
366,6.35553727e-05,-3.21987407e-06,7.67716690e-05,3.97237764e-05
367,6.35555831e-05,-3.21987939e-06,7.34612378e-05,3.80721656e-05
368,6.35557990e-05,-3.21988484e-06,7.00644319e-05,3.63773664e-05
369,6.35560196e-05,-3.21989042e-06,6.65944296e-05,3.46459678e-05
370,6.35562439e-05,-3.21989609e-06,6.30646958e-05,3.28847028e-05
371,6.35564712e-05,-3.21990184e-06,5.94889301e-05,3.11004212e-05
372,6.35567005e-05,-3.21990763e-06,5.58810123e-05,2.93000632e-05
373,6.35569310e-05,-3.21991346e-06,5.22549490e-05,2.74906322e-05
374,6.35571617e-05,-3.21991929e-06,4.86248176e-05,2.56791671e-05
375,6.35573918e-05,-3.21992511e-06,4.50047122e-05,2.38727153e-05
376,6.35576204e-05,-3.21993089e-06,4.14086878e-05,2.20783043e-05
377,6.35578465e-05,-3.21993660e-06,3.78507051e-05,2.03029149e-05
378,6.35580694e-05,-3.21994224e-06,3.43445765e-05,1.85534533e-05
379,6.35582881e-05,-3.21994777e-06,3.09039113e-05,1.68367243e-05
380,6.35585018e-05,-3.21995317e-06,2.75420626e-05,1.51594049e-05
381,6.35587096e-05,-3.21995842e-06,2.42720751e-05,1.35280174e-05
382,6.35589108e-05,-3.21996350e-06,2.11066341e-05,1.19489048e-05
383,6.35591046e-05,-3.21996840e-06,1.80580154e-05,1.04282050e-05
384,6.35592902e-05,-3.21997309e-06,1.51380375e-05,8.97182750e-06
385,6.35594669e-05,-3.21997755e-06,1.23580155e-05,7.58543005e-06
386,6.35596340e-05,-3.21998178e-06,9.72871650e-06,6.27439632e-06
387,6.35597909e-05,-3.21998574e-06,7.26031766e-06,5.04381504e-06
388,6.35599369e-05,-3.21998943e-06,4.96236636e-06,3.89846002e-06
389,6.35600716e-05,-3.21999283e-06,2.84374287e-06,2.84277153e-06
390,6.35601943e-05,-3.21999592e-06,9.12625723e-07,1.88083896e-06
391,6.35603047e-05,-3.21999871e-06,8.23540226e-07,1.01638483e-06
392,6.35604022e-05,-3.22000117e-06,2.35807281e-06,2.52750315e-07
393,6.35604866e-05,-3.22000329e-06,3.68507853e-06,4.07117749e-07
394,6.35605574e-05,-3.22000507e-06,4.79947546e-06,9.60678332e-07
395,6.35606144e-05,-3.22000651e-06,5.69701292e-06,1.40580603e-06
396,6.35606575e-05,-3.22000759e-06,6.37428784e-06,1.74079927e-06
397,6.35606864e-05,-3.22000831e-06,6.82875781e-06,1.96438682e-06
398,6.35607010e-05,-3.22000866e-06,7.05875075e-06,2.07573260e-06
399,6.35607013e-05,-3.22000866e-06,7.06347104e-06,2.07443880e-06
