t,ke,pe,ke_err,pe_err
71,6.35565892e-05,-3.21990835e-06,5.76321593e-05,2.90762268e-05
72,6.35567758e-05,-3.21991307e-06,5.46969776e-05,2.76122454e-05
73,6.35569638e-05,-3.21991782e-06,5.17390141e-05,2.61368729e-05
74,6.35571525e-05,-3.21992259e-06,4.87702006e-05,2.46560752e-05
75,6.35573411e-05,-3.21992735e-06,4.58025113e-05,2.31758396e-05
76,6.35575289e-05,-3.21993210e-06,4.28479154e-05,2.17021511e-05
77,6.35577151e-05,-3.21993680e-06,3.99183293e-05,2.02409678e-05
78,6.35578990e-05,-3.21994145e-06,3.70255694e-05,1.87981983e-05
79,6.35580798e-05,-3.21994602e-06,3.41813050e-05,1.73796772e-05
80,6.35582567e-05,-3.21995049e-06,3.13970119e-05,1.59911427e-05
81,6.35584292e-05,-3.21995484e-06,2.86839268e-05,1.46382133e-05
82,6.35585964e-05,-3.21995907e-06,2.60530025e-05,1.33263656e-05
83,6.35587577e-05,-3.21996314e-06,2.35148647e-05,1.20609125e-05
84,6.35589125e-05,-3.21996705e-06,2.10797692e-05,1.08469821e-05
85,6.35590601e-05,-3.21997078e-06,1.87575614e-05,9.68949720e-06
86,6.35591999e-05,-3.21997431e-06,1.65576372e-05,8.59315594e-06
87,6.35593314e-05,-3.21997763e-06,1.44889052e-05,7.56241278e-06
88,6.35594540e-05,-3.21998072e-06,1.25597519e-05,6.60146097e-06
89,6.35595673e-05,-3.21998358e-06,1.07780074e-05,5.71421580e-06
90,6.35596707e-05,-3.21998619e-06,9.15091512e-06,4.90429897e-06
91,6.35597639e-05,-3.21998854e-06,7.68510213e-06,4.17502418e-06
92,6.35598464e-05,-3.21999062e-06,6.38655325e-06,3.52938392e-06
93,6.35599180e-05,-3.21999242e-06,5.26058697e-06,2.97003750e-06
94,6.35599783e-05,-3.21999393e-06,4.31183417e-06,2.49930041e-06
95,6.35600271e-05,-3.21999516e-06,3.54421965e-06,2.11913513e-06
96,6.35600641e-05,-3.21999608e-06,2.96094640e-06,1.83114318e-06
97,6.35600893e-05,-3.21999671e-06,2.56448274e-06,1.63655876e-06
98,6.35601026e-05,-3.21999703e-06,2.35655235e-06,1.53624373e-06
99,6.35601037e-05,-3.21999705e-06,2.33812730e-06,1.53068413e-06
100,6.35600928e-05,-3.21999676e-06,2.50942402e-06,1.61998819e-06
101,6.35600699e-05,-3.21999617e-06,2.86990231e-06,1.80388579e-06
102,6.35600351e-05,-3.21999528e-06,3.41826726e-06,2.08172946e-06
103,6.35599884e-05,-3.21999408e-06,4.15247432e-06,2.45249688e-06
104,6.35599301e-05,-3.21999259e-06,5.06973717e-06,2.91479486e-06
105,6.35598604e-05,-3.21999082e-06,6.16653866e-06,3.46686477e-06
